End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,outputAmp,totalKva,totalKvar,totalKw
2025-11-17 00:42:59,PQM,2025-11-17 00:42:00,1317.20,9.02,135.19,282.62,1390.36,389.12,8.52,387.66,99.62,9.16,279.65,1260.81,340.96,54.13,334.58,98.13,9.92,268.26,1300.42,394.13,72.54,385.38,97.78,7.99,299.96,1107.62,98.51,,1124.20
2025-11-17 00:43:59,PQM,2025-11-17 00:43:00,1355.13,8.94,130.76,282.67,1429.53,393.42,4.28,392.37,99.73,9.03,279.79,1295.55,340.32,53.21,334.23,98.21,9.87,268.14,1340.32,398.22,73.28,389.87,97.90,7.91,300.09,1116.47,98.62,,1131.96
2025-11-17 00:44:59,PQM,2025-11-17 00:44:00,1314.19,8.95,121.18,282.76,1383.75,391.29,1.10,389.40,99.52,9.02,279.92,1252.60,336.36,49.05,330.35,98.21,9.83,268.28,1306.22,394.22,71.03,385.84,97.87,8.00,300.07,1105.59,98.53,,1121.87
2025-11-17 00:45:59,PQM,2025-11-17 00:45:00,1324.55,8.93,130.41,282.73,1402.48,394.79,3.76,393.65,99.71,9.02,279.81,1257.56,340.54,53.20,334.87,98.33,9.84,268.16,1313.60,400.04,73.44,391.69,97.91,7.94,300.22,1120.21,98.65,,1135.37
2025-11-17 00:46:59,PQM,2025-11-17 00:46:00,1337.45,9.00,123.36,282.68,1408.70,388.91,1.05,387.52,99.64,9.11,279.77,1278.19,335.63,51.40,330.16,98.37,9.92,268.18,1325.46,394.78,70.91,386.41,97.88,7.98,300.09,1104.09,98.63,,1119.33
2025-11-17 00:47:59,PQM,2025-11-17 00:47:00,1355.14,8.88,143.37,282.51,1411.92,402.56,5.83,400.42,99.47,9.07,279.62,1294.37,350.86,60.35,343.67,97.95,9.93,267.99,1359.11,413.70,77.19,404.72,97.83,7.64,299.91,1148.81,98.42,,1167.12
2025-11-17 00:48:59,PQM,2025-11-17 00:48:00,1341.71,8.87,132.75,282.57,1416.79,397.32,3.42,395.71,99.59,8.97,279.69,1273.43,343.03,54.47,336.93,98.22,9.80,267.99,1334.91,403.23,74.87,395.29,98.03,7.84,300.03,1127.92,98.62,,1143.58
2025-11-17 00:49:59,PQM,2025-11-17 00:49:00,1348.66,8.87,124.96,282.80,1421.78,393.62,1.19,391.20,99.39,8.95,279.99,1273.85,338.82,50.91,332.71,98.20,9.79,268.32,1350.35,397.49,72.86,389.27,97.93,7.87,300.10,1113.19,98.51,,1129.93
2025-11-17 00:50:59,PQM,2025-11-17 00:50:00,1327.68,8.92,129.57,282.82,1408.10,393.12,3.19,391.89,99.69,9.03,280.00,1261.48,338.89,52.61,332.87,98.22,9.79,268.27,1313.45,396.20,73.77,388.31,98.01,7.95,300.18,1113.08,98.64,,1128.20
2025-11-17 00:51:59,PQM,2025-11-17 00:51:00,1349.10,8.81,129.09,282.91,1425.27,396.38,3.50,394.69,99.57,8.85,280.08,1281.32,340.31,51.50,333.91,98.12,9.68,268.24,1340.72,398.62,74.09,389.94,97.82,7.90,300.40,1118.54,98.51,,1135.31
